addr_a,addr_b,median,mean,stddev
10240,11264,833,838.75,16.7612
10240,12288,833,840,16.0935
10240,13312,833,847,23.9165
10240,14336,833,841,18.9737
10240,15360,833,841,17.6635
11264,0,873,870.75,9.84568
11264,1024,873,874.75,23.8943
11264,2048,873,869.75,10.7442
11264,3072,873,873.5,8.70345
11264,4096,873,871.75,9.40412
11264,5120,873,873,9.79796
11264,6144,873,871.75,9.40412
11264,7168,873,869.75,11.6378
11264,8192,833,841,17.8885
11264,9216,833,844.25,21.341
11264,10240,833,842.75,20.5654
11264,11264,833,844.75,22.626
11264,12288,833,842.75,20.1727
11264,13312,833,841.75,19.9358
11264,14336,833,841.25,18.7066
11264,15360,833,840.75,18.4916
12288,0,873,873.75,7.83821
12288,1024,873,869.75,12.9398
12288,2048,873,871.5,9.26013
12288,3072,873,870.5,11.2138
12288,4096,873,873.75,7.83821
12288,5120,873,872.25,9.87104
12288,6144,873,873,9.79796
12288,7168,873,874.25,14.0156
12288,8192,833,840.75,18.7066
12288,9216,833,843.5,22.3998
12288,10240,833,846.75,24.6767
12288,11264,833,845.25,22.4486
12288,12288,833,841.25,17.8308
12288,13312,833,841.75,19.6326
12288,14336,833,845.75,23.1395
12288,15360,833,841.5,18.4323
13312,0,873,873.5,7.46659
13312,1024,873,871.25,10.7209
13312,2048,873,868,13.5277
13312,3072,873,871,9.16515
13312,4096,873,870.75,10.8138
13312,5120,873,874,7.68115
13312,6144,873,872,9.32738
13312,7168,873,869.5,13.8474
13312,8192,833,839.75,16.1381
13312,9216,833,842,20.0749
13312,10240,833,840.25,16.0449
13312,11264,833,842,20.567
13312,12288,833,839.5,16.6658
13312,13312,833,844.5,21.9943
13312,14336,833,841.5,18.3235
13312,15360,833,847.75,24.0091
14336,0,873,871.25,9.107
14336,1024,873,873.5,7.72981
14336,2048,873,870,10.9087
14336,3072,873,871.5,10.2835
14336,4096,873,871.75,9.61444
14336,5120,873,871.75,9.40412
14336,6144,873,871,11.4891
14336,7168,873,872.5,8.70345
14336,8192,833,839.75,16.1381
14336,9216,833,836.25,9.97184
14336,10240,833,841.25,18.5994
14336,11264,833,842.5,20.4389
14336,12288,833,842.75,20.1727
14336,13312,833,841,18.5472
14336,14336,833,838.75,17.1154
14336,15360,833,841.25,18.4916
15360,0,873,873.5,24.5713
15360,1024,873,871,12.6491
15360,2048,873,875.25,17.3476
15360,3072,873,872,10.3441
15360,4096,873,868,12.6095
15360,5120,873,871.5,9.88686
15360,6144,873,872,10.5357
15360,7168,873,870.5,9.88686
15360,8192,833,845.75,22.7912
15360,9216,833,843,19.5959
15360,10240,833,843,20
15360,11264,833,843.5,21.3951
15360,12288,833,842.75,20.37
15360,13312,833,841,18.4391
15360,14336,833,844,21.7025
15360,15360,833,847.5,24.0364
